date,time,temp,hum
2021 10 15,22:23:05,30.4,84.5
2021 10 15,22:23:23,30.4,84.4
2021 10 15,22:23:41,30.4,84.6
2021 10 15,22:24:04,30.3,84.4
2021 10 15,22:24:20,30.3,84.4
2021 10 15,22:24:38,30.3,84.7
2021 10 15,22:25:01,30.3,84.6
2021 10 15,22:25:17,30.3,84.6
2021 10 15,22:25:37,30.3,84.5
2021 10 15,22:25:55,30.3,84.5
2021 10 15,22:26:11,30.3,84.5
2021 10 15,22:26:26,30.2,84.4
2021 10 15,22:26:44,30.2,84.6
2021 10 15,22:27:00,30.2,84.6
2021 10 15,22:27:18,30.2,84.6
2021 10 15,22:27:39,30.2,84.7
2021 10 15,22:27:59,30.2,84.6
2021 10 15,22:28:17,30.1,84.7
2021 10 15,22:28:40,30.1,84.5
2021 10 15,22:29:06,30.1,84.9
2021 10 15,22:29:22,30.1,84.7
2021 10 15,22:29:37,30.1,84.8
2021 10 15,22:29:55,30.1,84.9
2021 10 15,22:30:11,30.1,84.9
2021 10 15,22:30:29,30,84.9
2021 10 15,22:30:54,30,85
2021 10 15,22:31:15,30,84.9
2021 10 15,22:31:31,30,84.9
2021 10 15,22:31:46,30,84.9
2021 10 15,22:32:02,30,84.9
2021 10 15,22:32:20,30,84.6
2021 10 15,22:32:35,30,84.6
2021 10 15,22:32:56,30,84.8
2021 10 15,22:33:16,29.9,84.3
2021 10 15,22:33:37,29.9,84
2021 10 15,22:34:00,29.9,84.2
2021 10 15,22:34:26,29.9,83.8
2021 10 15,22:34:46,29.9,84.2
2021 10 15,22:35:02,29.9,84.3
2021 10 15,22:35:17,29.9,84.4
2021 10 15,22:35:36,29.9,84.6
2021 10 15,22:36:04,29.9,84.6
2021 10 15,22:36:22,29.9,84.6
2021 10 15,22:36:42,29.9,84.6
2021 10 15,22:36:58,29.9,84.6
2021 10 15,22:37:21,29.9,84.6
2021 10 15,22:37:47,29.9,84.7
2021 10 15,22:38:02,29.9,84.7
2021 10 15,22:38:18,29.9,84.6
2021 10 15,22:38:36,29.9,84.7
2021 10 15,22:38:54,29.9,84.7
2021 10 15,22:39:12,29.9,84.7
2021 10 15,22:39:35,29.9,84.5
2021 10 15,22:39:53,29.9,84.6
2021 10 15,22:40:14,29.8,84.6
2021 10 15,22:40:44,29.9,84.4
2021 10 15,22:41:03,29.9,83.7
2021 10 15,22:41:21,29.8,84.1
2021 10 15,22:41:36,29.9,84.2
2021 10 15,22:41:54,29.9,84.1
2021 10 15,22:42:10,29.8,84.1
2021 10 15,22:42:30,29.9,84.5
2021 10 15,22:42:54,29.8,84.5
2021 10 15,22:43:09,29.8,84.5
2021 10 15,22:43:27,29.9,84.6
2021 10 15,22:43:48,29.8,84.7
2021 10 15,22:44:06,29.8,84.6
2021 10 15,22:44:21,29.8,84.6
2021 10 15,22:44:44,29.8,84.6
2021 10 15,22:45:03,29.8,84.6
2021 10 15,22:45:21,29.8,84.6
2021 10 15,22:45:39,29.8,84.6
2021 10 15,22:45:54,29.8,84.6
2021 10 15,22:46:10,29.8,84.6
2021 10 15,22:46:28,29.8,84.6
2021 10 15,22:46:43,29.8,84.6
2021 10 15,22:47:04,29.8,84.6
2021 10 15,22:47:32,29.9,84.6
2021 10 15,22:47:48,29.8,84.5
2021 10 15,22:48:08,29.8,84.5
2021 10 15,22:48:26,29.8,84.6
2021 10 15,22:48:44,29.8,84.6
2021 10 15,22:49:00,29.8,84.6
2021 10 15,22:49:21,29.9,84.7
2021 10 15,22:49:36,29.9,84.7
2021 10 15,22:49:54,29.8,84.5
2021 10 15,22:50:10,29.9,84.7
2021 10 15,22:50:25,29.9,84.7
2021 10 15,22:50:51,29.8,84.6
2021 10 15,22:51:22,29.8,84.7
2021 10 15,22:51:37,29.8,84.6
2021 10 15,22:52:03,29.8,84.7
2021 10 15,22:52:18,29.8,84.6
2021 10 15,22:52:34,29.8,84.7
2021 10 15,22:52:49,29.8,84.7
2021 10 15,22:53:05,29.8,84.7
2021 10 15,22:53:23,29.8,84.7
2021 10 15,22:53:41,29.8,84.6
2021 10 15,22:53:57,29.8,84.6
2021 10 15,22:54:12,29.8,84.7
2021 10 15,22:54:28,29.8,84.7
2021 10 15,22:54:46,29.8,84.7
2021 10 15,22:55:06,29.8,84.7
2021 10 15,22:55:27,29.8,84.8
2021 10 15,22:55:43,29.8,84.7
2021 10 15,22:55:58,29.8,84.7
2021 10 15,22:56:19,29.8,84.8
2021 10 15,22:56:44,29.8,84.7
2021 10 15,22:57:07,29.8,84.7
2021 10 15,22:57:28,29.8,84.7
2021 10 15,22:57:51,29.8,84.8
2021 10 15,22:58:09,29.8,84.8
2021 10 15,22:58:25,29.8,84.8
2021 10 15,22:58:40,29.8,84.8
2021 10 15,22:58:58,29.8,84.7
2021 10 15,22:59:14,29.8,84.7
2021 10 15,22:59:32,29.8,84.8
2021 10 15,22:59:53,29.8,84.7
2021 10 15,23:00:08,29.8,84.7
2021 10 15,23:00:26,29.8,84.8
2021 10 15,23:01:10,29.8,84.7
2021 10 15,23:01:33,29.8,84.7
2021 10 15,23:01:48,29.8,84.7
2021 10 15,23:02:04,29.8,84.7
2021 10 15,23:02:40,29.8,84.7
